Date,Description,Category,Amount,Balance
2025-03-26,ATM Withdrawal,Cash,-7.9,2554.39
2025-03-26,ATM Withdrawal,Cash,-28.92,3504.38
2025-03-27,Fast Food,Dining,-8.24,3702.04
2025-03-27,ATM Withdrawal,Cash,-11.09,2040.6
2025-03-28,Cinema,Entertainment,-43.78,1635.06
2025-03-28,Internet Bill,Utilities,-16.26,3236.78
2025-03-28,Restaurant,Dining,-47.67,439.15
2025-03-28,Fast Food,Dining,-36.4,3710.28
2025-03-29,Mobile Bill,Utilities,-61.01,985.0
2025-03-29,ATM Withdrawal,Cash,-40.83,3584.12
2025-03-30,Restaurant,Dining,-28.57,3977.95
2025-03-30,Apple Store,Shopping,-962.43,4037.57
2025-03-30,Gas Station,Transport,-5.34,1857.71
2025-03-30,ATM Withdrawal,Cash,-26.25,2984.56
2025-03-31,Pharmacy,Health,-10.57,2480.72
2025-03-31,Electricity Bill,Utilities,-65.2,1792.51
